TABLE NO.     4: MCMC Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
 ITERATION    THETA1       THETA2       THETA3       THETA4       SIGMA(1,1)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   OMEGA(4,1)   OMEGA(4,2)   OMEGA(4,3)   OMEGA(4,4)   MCMCOBJ
        -9944  1.72090E+00  1.57759E+00  7.28467E-01  2.31786E+00  5.78801E-02  1.47435E-01  2.78687E-02  1.50293E-01  5.05876E-03  3.69264E-03  8.08039E-02 -3.15603E-02  3.18978E-02 -1.69207E-02  1.26395E-01   -2266.52279177365
        -9943  1.66457E+00  1.51977E+00  7.29954E-01  2.24323E+00  5.65132E-02  1.44999E-01  1.94167E-02  2.05288E-01  5.91617E-03 -2.23409E-02  1.36855E-01 -2.00051E-02  4.96537E-02 -4.22697E-02  1.44548E-01   -2241.17071524260
        -9942  1.67188E+00  1.54975E+00  6.90599E-01  2.35192E+00  6.10590E-02  1.75610E-01  3.32430E-02  1.99458E-01  5.88725E-02  1.73135E-02  1.37471E-01 -1.52017E-02  2.08596E-02 -4.44113E-02  1.19521E-01   -2222.24854419546
        -9941  1.69295E+00  1.55925E+00  6.78785E-01  2.37537E+00  5.72500E-02  1.95032E-01  4.55006E-02  2.11186E-01  1.82770E-02  5.58291E-03  9.78700E-02 -1.99395E-02  2.95346E-02 -1.95065E-02  1.00555E-01   -2192.49843979265
        -9940  1.66334E+00  1.55988E+00  7.24846E-01  2.34182E+00  6.71077E-02  1.37267E-01  3.45567E-02  1.98989E-01  5.37386E-03  2.92276E-02  1.17832E-01  4.24524E-03  3.90831E-02  1.03745E-02  1.39710E-01   -2189.67640722184
        -9939  1.60116E+00  1.46400E+00  7.50319E-01  2.33376E+00  6.48673E-02  2.11636E-01  3.04684E-02  1.78995E-01  5.71968E-02  7.02339E-02  1.19886E-01 -2.28456E-02  1.71221E-02 -7.84446E-03  1.13668E-01   -2197.60262616900
        -9938  1.67503E+00  1.58464E+00  7.46105E-01  2.28661E+00  6.50900E-02  1.40228E-01  2.90011E-02  2.07321E-01  1.08733E-02  4.84606E-02  1.04540E-01 -9.91730E-03  2.07247E-02 -3.72899E-02  1.26466E-01   -2186.34582757378
        -9937  1.67624E+00  1.59501E+00  6.87136E-01  2.35276E+00  7.97692E-02  1.70461E-01  7.84613E-03  1.87385E-01 -1.82959E-02  5.55130E-02  1.32658E-01 -2.83374E-02  3.25432E-02 -1.96049E-02  1.17165E-01   -2173.03519147718
        -9936  1.69715E+00  1.66994E+00  7.74002E-01  2.32335E+00  6.38096E-02  1.72089E-01  4.35786E-02  2.21394E-01  4.15115E-02  7.18657E-02  1.49627E-01 -8.94315E-03  3.08000E-02 -1.97367E-02  1.40833E-01   -2169.42014114798
        -9935  1.66802E+00  1.61205E+00  7.06988E-01  2.34978E+00  6.51082E-02  1.91877E-01  2.07660E-02  1.80894E-01  2.20910E-02  5.78662E-02  1.46744E-01 -4.27938E-02  3.06907E-02 -5.10382E-03  1.17898E-01   -2193.62913407555
        -9934  1.64177E+00  1.47569E+00  7.40160E-01  2.26835E+00  7.03039E-02  1.80166E-01 -3.54758E-02  1.78840E-01  2.44991E-02  4.90645E-02  1.66868E-01 -3.25645E-02  6.07079E-02  1.52746E-02  1.39536E-01   -2202.97165034790
        -9933  1.62949E+00  1.52422E+00  7.10810E-01  2.29337E+00  6.17360E-02  1.96108E-01 -3.33941E-02  1.98097E-01  1.83930E-02  3.19085E-02  1.44107E-01 -4.13099E-02  1.30076E-02 -1.84827E-03  1.33271E-01   -2241.52242947348
        -9932  1.68806E+00  1.53044E+00  6.66203E-01  2.36529E+00  5.60090E-02  1.66011E-01  1.45847E-02  2.11479E-01  3.69345E-02  5.99139E-02  1.55081E-01 -7.46454E-03  5.37800E-02 -5.82934E-06  1.03528E-01   -2218.90319814444
        -9931  1.67121E+00  1.55279E+00  7.27070E-01  2.29186E+00  5.67234E-02  1.67035E-01  9.07391E-03  2.01558E-01  1.07039E-02  4.34181E-02  1.99824E-01 -3.06448E-02  3.04328E-02  2.53259E-02  1.17504E-01   -2223.41180543551
        -9930  1.67852E+00  1.53720E+00  6.82588E-01  2.33722E+00  5.45013E-02  1.43333E-01  5.41651E-03  1.99012E-01  6.72015E-03  8.97670E-02  1.63413E-01 -8.61909E-03  4.23148E-02  3.12666E-02  1.27257E-01   -2223.68705960287
        -9929  1.66902E+00  1.56715E+00  7.48100E-01  2.34135E+00  6.25283E-02  1.64367E-01  8.91477E-03  1.83525E-01  1.05780E-02  3.85611E-02  1.46463E-01 -2.69708E-02  3.16340E-02  6.84301E-03  1.25359E-01   -2223.26770875092
        -9928  1.67858E+00  1.55680E+00  7.15724E-01  2.33189E+00  6.16397E-02  1.55910E-01  6.14539E-02  1.97703E-01  2.09386E-02  6.84501E-02  1.60195E-01  1.01149E-02  3.08233E-02 -4.39573E-04  1.33176E-01   -2177.52448754770
        -9927  1.71399E+00  1.64000E+00  6.97631E-01  2.34635E+00  6.34492E-02  1.27539E-01  1.28888E-02  1.93486E-01 -2.11746E-02  2.60532E-02  2.11461E-01  8.60714E-03  3.14966E-02 -3.47074E-02  1.27227E-01   -2180.00231638216
        -9926  1.65335E+00  1.59651E+00  6.87015E-01  2.27557E+00  6.40379E-02  1.90521E-01  5.10457E-02  1.97821E-01  3.11276E-02  6.92671E-02  1.72705E-01 -3.46865E-02  8.05565E-03 -1.36603E-02  1.09376E-01   -2221.89255948474
